localId,anio_construccion,anio_ultima_reforma,uso
000100100YJ27F,1890,1890,1_residential
000100100YJ28A,1968,1980,3_industrial
000100100YJ36A,1973,1973,1_residential
000100200YJ27F,1890,1890,1_residential
000100200YJ28A,1973,1973,1_residential
000100300YJ27F,1970,2004,4_1_office
000100300YJ36C,1988,1988,1_residential
000100400YJ27F,1890,2004,1_residential
000100400YJ36C,1988,1988,4_3_publicServices
000200100YJ26F,1950,1950,1_residential
000200100YJ26G,1900,1900,1_residential
000200100YJ26H,1920,1920,1_residential
000200100YJ27F,2004,2004,1_residential
000200100YJ28A,1890,1960,1_residential
000200100YJ35E,1960,1960,1_residential
000200200YJ26F,1920,1995,1_residential
000200200YJ26G,1946,1946,1_residential
000200200YJ27F,1860,1860,1_residential
000200200YJ28A,1890,1890,1_residential
000200200YJ35E,1965,1965,1_residential
000200300YJ27C,1970,1970,3_industrial
000200300YJ27F,1860,1860,1_residential
000200300YJ28A,1975,1975,1_residential
000200300YJ35E,1965,1965,1_residential
000200400YJ27C,2010,2010,4_1_office
000200400YJ28A,1890,1890,3_industrial
000200400YJ35E,1970,1970,1_residential
000200500YJ26F,1900,1900,3_industrial
000200500YJ35E,1965,1980,1_residential
000200600YJ26F,1900,1900,3_industrial
000200600YJ35E,1998,1998,3_industrial
000200700YJ26F,1910,1910,3_industrial
000200700YJ26H,1930,1930,1_residential
000200800YJ26F,1930,1930,1_residential
000200900YJ26F,1930,1930,1_residential
000201000YJ26F,1920,1920,1_residential
000201200YJ26F,1910,1910,1_residential
000201300YJ26F,1910,1910,1_residential
000201400YJ26F,1910,1910,1_residential
000202100YJ26F,1930,1930,1_residential
000202300YJ26F,1920,1920,1_residential
000202500YJ26F,1920,1995,3_industrial
000300100YJ26F,1900,1900,1_residential
000300100YJ26G,1960,1960,1_residential
000300200YJ26F,1995,1995,1_residential
000300200YJ26G,1930,1930,1_residential
000300200YJ26H,1890,1890,1_residential
000300200YJ27D,1880,1880,1_residential
000300200YJ35C,1940,1940,1_residential
000300300YJ26F,1900,1900,1_residential
000300300YJ26G,1960,2004,1_residential
000300300YJ26H,1890,1890,3_industrial
000300300YJ35C,1940,1940,1_residential
000300400YJ26F,1994,1994,1_residential
000300400YJ26G,1900,1900,1_residential
000300400YJ26H,1890,1890,1_residential
000300400YJ35C,1930,1930,1_residential
000300500YJ26F,1900,1900,1_residential
000300500YJ26G,1979,1995,3_industrial
000300500YJ26H,1930,1930,1_residential
000300500YJ35C,1970,2000,1_residential
000300600YJ26F,1930,1960,1_residential
000300600YJ26G,1900,1900,1_residential
000300600YJ26H,1910,1980,1_residential
000300600YJ35C,1970,1990,1_residential
000300700YJ26F,1930,1930,1_residential
000300700YJ26G,1976,1990,3_industrial
000300700YJ26H,1880,1880,1_residential
000300700YJ35C,1970,1970,1_residential
000300800YJ26F,1930,1930,1_residential
000300800YJ26G,1960,1960,1_residential
000300800YJ26H,1900,2000,1_residential
000300800YJ35C,1978,1978,1_residential
000300900YJ26F,1900,1900,1_residential
000300900YJ26G,1970,1970,3_industrial
000300900YJ26H,1910,1910,1_residential
000300900YJ35C,1950,1995,4_3_publicServices
000301000YJ26F,1920,1920,1_residential
000301000YJ26G,1970,1970,3_industrial
000301000YJ26H,1999,2006,1_residential
000301000YJ35C,1976,1985,1_residential
000301100YJ26F,1920,1920,3_industrial
000301100YJ26G,1980,1980,3_industrial
000301100YJ26H,1920,1920,1_residential
000301200YJ26F,1978,1990,3_industrial
000301200YJ26H,1940,1940,1_residential
000301300YJ26F,1920,1920,1_residential
000301300YJ26G,2008,2008,3_industrial
000301300YJ27B,1880,1880,1_residential
000301400YJ26F,1900,1985,1_residential
000301400YJ26H,1950,1994,1_residential
000301500YJ26F,1900,1985,1_residential
000301500YJ26H,1970,1995,1_residential
000301600YJ26F,1960,1960,1_residential
000301600YJ26H,1910,1910,1_residential
000301700YJ26F,1900,1900,1_residential
000301700YJ26H,1910,1910,1_residential
000301800YJ26F,1970,1970,1_residential
000301800YJ26H,1910,1910,1_residential
000301900YJ26F,1960,1960,1_residential
000302000YJ26F,2000,2005,1_residential
000302000YJ26H,1900,2008,1_residential
000302100YJ26F,1978,1978,1_residential
000302100YJ26H,1910,1995,1_residential
000302200YJ26F,1960,1960,1_residential
000302200YJ26H,1880,1880,1_residential
000302300YJ26F,1960,1960,1_residential
000302300YJ26H,1910,1910,1_residential
000302400YJ26F,1930,1930,1_residential
000302400YJ26H,1950,1950,1_residential
000302500YJ26F,1960,1985,1_residential
000302500YJ26H,1930,1985,1_residential
000302600YJ26F,1930,1930,3_industrial
000302700YJ26F,1985,1985,1_residential
000302700YJ26H,1910,1990,1_residential
000302800YJ26F,2005,2005,1_residential
000302800YJ26H,1890,1890,1_residential
000302900YJ26F,1930,1930,1_residential
000302900YJ26H,1930,1930,1_residential
000303000YJ26F,1930,1930,4_1_office
000303000YJ26H,1945,1945,1_residential
000303100YJ26F,1960,1960,1_residential
000303100YJ26H,1940,1995,1_residential
000303200YJ26F,1940,1940,1_residential
000303200YJ26H,1920,1920,1_residential
000303300YJ26F,2002,2002,1_residential
000303300YJ26H,1995,1995,1_residential
000303400YJ26F,1900,1900,1_residential
000303400YJ26H,1930,1995,1_residential
000303500YJ26F,1900,1995,1_residential
000303500YJ26H,1890,1890,1_residential
000303600YJ26F,1960,1960,1_residential
000303600YJ26H,1890,1890,1_residential
000303700YJ26F,1960,1990,1_residential
000303700YJ26H,1890,1890,3_industrial
000303800YJ26F,1975,1975,1_residential
000303800YJ26H,1890,1890,1_residential
000303900YJ26F,1987,1987,1_residential
000303900YJ26H,1870,1870,1_residential
000304000YJ26F,1960,1960,1_residential
000304000YJ26H,1960,1960,1_residential
000304100YJ26F,1960,1960,1_residential
000304100YJ26H,1960,1960,1_residential
000304200YJ26F,1930,1930,1_residential
