rank,barrio,plantas,anio,altura_m,uso,riesgo,tiempo_llegada_min,parque_cercano,ref,lon,lat
1,ELS ORRIOLS,10,2006,30,1_residential,58.4,5.0,Parque de Bomberos Norte,6155902YJ2765E,-0.37085,39.49775
2,SANT ANTONI,13,2003,39,1_residential,55.9,3.2,Parque de Bomberos Centro Histórico,6143201YJ2764C,-0.3714,39.4875
3,AIORA,10,2000,30,1_residential,55.2,4.8,Parque de Bomberos Norte,9021403YJ2792A,-0.33797,39.46596
4,SANT MARCEL.LI,10,2008,30,1_residential,54.9,4.7,Parque de Bomberos Oeste,4797303YJ2649H,-0.3895,39.44662
5,L'AMISTAT,11,2001,33,1_residential,54.8,3.1,Parque de Bomberos Norte,8126701YJ2782E,-0.34937,39.47097
6,SANT MARCEL.LI,17,2004,51,1_residential,54.2,4.8,Parque de Bomberos Oeste,4796401YJ2649F,-0.38873,39.44618
7,L'ILLA PERDUDA,16,2001,48,1_residential,53.6,4.0,Parque de Bomberos Norte,8823114YJ2782D,-0.34153,39.46911
8,EN CORTS,10,2003,30,1_residential,52.3,1.6,Parque Central de Bomberos,6409033YJ2760H,-0.36738,39.45544
9,SOTERNES,11,2000,33,1_residential,51.5,3.6,Parque de Bomberos Oeste,2724501YJ2722D,-0.41122,39.47104
10,L'HORT DE SENABRE,10,2007,30,1_residential,51.4,3.9,Parque de Bomberos Oeste,4301635YJ2740A,-0.3934,39.45057
11,L'AMISTAT,10,2001,30,1_residential,51.4,2.5,Parque de Bomberos Norte,7728413YJ2772H,-0.35314,39.47324
12,SANT ANTONI,10,2004,30,4_3_publicServices,51.3,3.0,Parque de Bomberos Centro Histórico,5943931YJ2754D,-0.37467,39.48749
13,SANT ANTONI,10,2008,30,1_residential,51.3,3.6,Parque de Bomberos Centro Histórico,5847429YJ2754F,-0.37458,39.49081
14,CAMI FONDO,10,2002,30,1_residential,51.1,3.4,Parque Central de Bomberos,7918701YJ2771F,-0.35143,39.46406
15,TORMOS,10,2005,30,1_residential,50.6,3.7,Parque de Bomberos Centro Histórico,5848609YJ2754H,-0.37497,39.49161
16,BETERO,13,2001,39,1_residential,50.5,4.1,Parque de Bomberos Norte,9128501YJ2792G,-0.33697,39.4732
17,TORMOS,15,2007,45,1_residential,50.1,3.5,Parque de Bomberos Centro Histórico,5747828YJ2754F,-0.37624,39.49067
18,ALBORS,10,2005,30,1_residential,49.9,3.2,Parque de Bomberos Norte,7624416YJ2772D,-0.35498,39.46935
19,L'HORT DE SENABRE,10,2001,30,1_residential,49.8,3.8,Parque de Bomberos Oeste,4301601YJ2740C,-0.39367,39.45069
20,SANT ANTONI,10,2007,30,1_residential,48.9,3.2,Parque de Bomberos Centro Histórico,5944128YJ2754F,-0.37485,39.48875
21,TORMOS,10,2008,30,1_residential,48.8,3.0,Parque de Bomberos Centro Histórico,5643211YJ2754D,-0.37711,39.488
22,CIUTAT JARDI,15,2001,45,1_residential,48.8,3.2,Parque de Bomberos Norte,8729202YJ2782H,-0.34342,39.4742
