barrio,n_edificios,riesgo_medio,riesgo_p75,riesgo_p90,altura_media,plantas_media,anio_mediano,dist_parque_media,tiempo_llegada_medio,densidad,vulnerab,pct_con_sensible
ELS ORRIOLS,2778,53.88,55.2,56.3,12.38,4.13,1966.0,1886.17,4.27,36309.0,80.0,97.73
EL CALVARI,713,53.18,55.9,56.8,16.51,5.5,1966.0,1269.0,3.2,53725.0,100.0,68.3
L'ILLA PERDUDA,1157,52.42,53.9,55.8,17.36,5.79,1974.0,1932.15,4.35,34131.0,65.0,99.65
AIORA,4996,52.32,55.0,56.2,13.43,4.48,1969.0,1906.85,4.31,34832.0,75.0,88.67
L'AMISTAT,1243,52.27,54.3,55.1,18.05,6.02,1973.0,974.65,2.69,36417.0,75.0,100.0
SANT MARCEL.LI,1150,52.16,54.0,54.8,14.26,4.75,1973.0,2334.93,5.05,27355.0,75.0,97.04
LA CREU DEL GRAU,2385,51.1,53.5,55.5,15.49,5.16,1970.0,1745.78,4.03,34488.0,70.0,83.35
CIUTAT JARDI,1386,50.55,53.1,54.3,22.78,7.59,1976.0,1313.51,3.28,37479.0,70.0,72.51
BETERO,1208,50.27,52.0,53.43,14.54,4.85,1982.0,1936.03,4.36,26924.0,75.0,96.03
SANT ANTONI,1758,49.86,51.4,53.4,16.91,5.64,1976.0,1305.36,3.26,35482.0,65.0,98.52
L'HORT DE SENABRE,2840,49.73,51.5,52.5,12.32,4.11,1971.0,1461.79,3.53,33641.0,70.0,99.65
LA RAIOSA,3323,49.57,51.1,52.5,14.2,4.73,1970.0,1155.17,3.0,39593.0,70.0,84.17
BENIFARAIG,855,49.0,51.1,51.3,6.0,2.0,1952.0,5202.31,10.02,705.0,,78.6
ALBORS,1939,48.47,50.1,51.1,13.92,4.64,1970.0,1335.15,3.31,34011.0,55.0,100.0
SOTERNES,896,48.05,50.0,50.9,15.53,5.18,1968.0,1319.58,3.29,20932.0,85.0,90.51
BORBOTO,783,47.94,50.2,50.7,5.67,1.89,1940.0,3724.67,7.46,549.0,,75.99
TORREFIEL,5510,47.93,49.6,51.0,11.76,3.92,1972.0,1891.07,4.28,31615.0,45.0,93.48
MASSARROJOS,2472,47.35,50.7,52.3,5.01,1.67,1996.0,6428.21,12.14,821.0,,48.99
EN CORTS,2868,47.23,49.0,50.3,14.33,4.78,1967.0,679.13,2.18,31415.0,85.0,99.76
TORMOS,1626,47.16,48.5,49.9,14.98,4.99,1970.0,1327.89,3.3,27984.0,65.0,97.85
CARPESA,1075,47.15,50.0,51.6,5.73,1.91,1965.0,4186.23,8.26,504.0,,63.63
MAHUELLA-TAULADELLA,180,47.11,49.3,49.3,4.33,1.44,1910.0,7224.33,13.52,131.0,,0.0
LA TORRE,1247,47.07,50.4,52.2,9.08,3.03,1971.0,3428.96,6.94,11213.0,,53.25
EL PERELLONET,2915,47.05,48.7,50.9,9.25,3.08,1984.0,7280.65,13.62,1746.0,,11.9
