nombre,area_km2,viviendas_total,unidades_total,n_edificios,n_residencial,pob_estimada,densidad_hab_km2
BENIFARAIG,1.4220684362081264,533,848,272,235,1002,705
BENICALAP,1.7189228359981086,19678,34913,1237,1093,36995,21522
TORREFIEL,0.7002706128918745,11776,18673,825,736,22139,31615
TORMOS,0.2799489956377571,4167,6358,271,250,7834,27984
SANT ANTONI,0.24987147948860122,4716,9018,233,210,8866,35482
BENIMACLET,0.7512572569344568,12972,20724,1016,924,24387,32462
MARXALENES,0.39036246998252183,5467,8623,284,257,10278,26329
EL CALVARI,0.09368162331595396,2677,3546,80,77,5033,53725
MORVEDRE,0.428181365731374,5396,8770,409,374,10144,23691
TRINITAT,0.5956740651733996,4725,7115,230,202,8883,14913
LES TENDETES,0.25817246013526707,2749,4055,169,154,5168,20018
CAMPANAR,0.9877681881411486,5741,10402,456,388,10793,10927
JAUME ROIG,0.18710023136642487,3005,5262,100,90,5649,30192
EL CARME,0.38406465510761195,4307,6945,631,544,8097,21082
CIUTAT UNIVERSITARIA,0.2738504662692406,1469,2232,42,24,2762,10086
EL BOTANIC,0.3701129712925429,4003,6436,412,382,7526,20334
EXPOSICIO,0.38160681713484484,3357,7117,195,167,6311,16538
LA SEU,0.2210725976611902,2170,3584,416,347,4080,18455
LA VEGA BAIXA,0.1905707844174474,3264,6085,117,107,6136,32198
LA PETXINA,0.49677174395517953,8044,13482,536,504,15123,30443
BETERO,0.2672369832994522,3827,5869,233,218,7195,26924
CABANYAL-CANYAMELAR,1.349868942188215,11857,15494,3210,2765,22291,16513
MESTALLA,0.8437261675443387,7908,15859,336,285,14867,17621
LA XEREA,0.31164788954009964,2738,5601,425,350,5147,16515
EL MERCAT,0.17279397256868723,2943,5132,539,479,5533,32021
EL PILAR,0.16160510750379692,2878,4744,341,318,5411,33483
L'AMISTAT,0.2086122971773885,4041,5919,187,181,7597,36417
SANT FRANCESC,0.4386552915734737,4512,9978,511,368,8483,19339
EL PLA DEL REMEI,0.3869153203841188,4228,9707,427,379,7949,20545
L'ILLA PERDUDA,0.23152207974505584,4203,6413,165,155,7902,34131
ALBORS,0.25565497896968353,4625,7573,287,255,8695,34011
ARRANCAPINS,0.8743687348051495,12597,22037,725,677,23682,27085
AIORA,0.6513516602005157,12068,20103,679,609,22688,34832
LA ROQUETA,0.23056701694195522,3221,5298,348,323,6055,26261
LA GRAN VIA,0.46711580462594976,6560,10023,527,494,12333,26402
TRES FORQUES,0.5267943471969039,4412,4879,391,371,8295,15746
CAMI FONDO,0.15857863021255242,2291,3703,199,187,4307,27160
PATRAIX,0.6213031273620643,12257,21840,635,558,23043,37088
RUSSAFA,0.8767438001224632,14526,24650,1258,1168,27309,31148
PENYA-ROJA,0.9074012936275504,6121,13973,118,95,11507,12681
LA CREU DEL GRAU,0.3901931426955476,7158,11338,247,204,13457,34488
MONTOLIVET,0.4746994605438916,9845,14464,632,601,18509,38991
LA RAIOSA,0.37544631247801247,7907,12832,492,462,14865,39593
SAFRANAR,0.44126343054359474,4795,8232,144,119,9015,20430
CIUTAT DE LES ARTS I DE LES CIENCIES,0.9928836232477956,4676,10746,62,47,8791,8854
EN CORTS,0.3640243523461071,6083,8815,558,513,11436,31415
NA ROVELLA,0.5364761789810064,3272,3920,166,122,6151,11466
SANT ISIDRE,0.49513890136106936,4801,8558,174,143,9026,18229
MALILLA,2.5071521236742376,11970,20106,383,300,22504,8976
FAVARA,0.2802126075091224,1744,3145,173,146,3279,11702
L'HORT DE SENABRE,0.4263891164755377,7630,11873,445,405,14344,33641
NATZARET,0.9164387808392374,3078,3833,864,701,5787,6315
LA CREU COBERTA,0.3748854482595367,2864,5007,163,122,5384,14362
CAMI REAL,1.4775627944733494,1874,2990,162,117,3523,2384
LA FONTETA S.LLUIS,0.23882441832273987,1548,2251,203,171,2910,12185
SANT MARCEL.LI,0.3304354606059691,4808,7104,160,150,9039,27355
LA PUNTA,6.21324107726066,2287,4189,784,624,4300,692
EL GRAU,5.231981522441817,5186,8767,417,256,9750,1864
CIUTAT JARDI,0.363905828332052,7255,11807,206,179,13639,37479
VARA DE QUART,1.0346063362236437,4519,9034,222,118,8496,8212
CAMI DE VERA,0.8270319850547233,2489,4482,112,97,4679,5658
BENIFERRI,0.5339455579802276,509,1017,72,49,957,1792
LA CARRASCA,1.9456974724344065,1920,3216,120,88,3610,1855
BENIMAMET,1.4771915686164854,6559,9409,1526,1299,12331,8348
SANT PAU,3.898034390276805,7892,19842,262,184,14837,3806
CIUTAT FALLERA,0.4969077422953172,2602,3440,179,60,4892,9845
ELS ORRIOLS,0.39673817352661117,7662,10457,472,432,14405,36309
SANT LLORENS,1.5325912397556176,4953,11218,129,90,9312,6076
NOU MOLES,0.7394987979951538,13469,20731,704,663,25322,34242
SOTERNES,0.22434130849503894,2498,3487,126,112,4696,20932
LA LLUM,0.17520352324675292,2279,3522,82,74,4285,24457
LA FONTSANTA,0.3229992187304804,1550,1768,71,54,2914,9022
FAITANAR,4.902501464250522,1107,1410,295,182,2081,424
PINEDO,6.526456361906724,1310,1898,557,400,2463,377
CASTELLAR-L'OLIVERAL,2.989701201433215,3362,4953,1532,1211,6321,2114
EL FORN D'ALCEDO,1.2008823882614292,655,994,332,189,1231,1025
LA TORRE,0.4195230119632709,2502,3356,277,250,4704,11213
EL PERELLONET,4.928204351112738,4578,6025,535,365,8607,1746
EL PALMAR,36.96163971905129,423,616,439,315,795,22
EL SALER,8.247660455508242,2090,2811,153,123,3929,476
LA MALVA-ROSA,0.7329881537946599,6901,8900,579,513,12974,17700
RAFALELL-VISTABELLA,2.1244687953190353,2,18,14,3,4,2
CARPESA,2.2555402317205147,604,812,338,290,1136,504
BORBOTO,1.4195907270890724,415,533,254,225,780,549
POBLE NOU,2.9309576623544906,500,665,325,237,940,321
LES CASES DE BARCENA,1.201023351954233,239,322,148,105,449,374
MAHUELLA-TAULADELLA,1.0430661378118942,73,98,86,72,137,131
MASSARROJOS,2.7819008057213157,1215,1439,458,418,2284,821
